[2026-01-23T16:09:48.488+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010902.1 already exists. Skipping.
[2026-01-23T16:09:48.496+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010903.1 already exists. Skipping.
[2026-01-23T16:09:48.504+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011001.1 already exists. Skipping.
[2026-01-23T16:09:48.510+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011002.1 already exists. Skipping.
[2026-01-23T16:09:48.517+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011003.1 already exists. Skipping.
[2026-01-23T16:09:48.526+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011101.1 already exists. Skipping.
[2026-01-23T16:09:48.531+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011102.1 already exists. Skipping.
[2026-01-23T16:09:48.539+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011103.1 already exists. Skipping.
[2026-01-23T16:09:48.553+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011201.1 already exists. Skipping.
[2026-01-23T16:09:48.560+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011202.1 already exists. Skipping.
[2026-01-23T16:09:48.571+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011203.1 already exists. Skipping.
[2026-01-23T16:09:48.605+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011301.1 already exists. Skipping.
[2026-01-23T16:09:48.616+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011302.1 already exists. Skipping.
[2026-01-23T16:09:48.628+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011303.1 already exists. Skipping.
[2026-01-23T16:09:48.638+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011401.1 already exists. Skipping.
[2026-01-23T16:09:48.648+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011402.1 already exists. Skipping.
[2026-01-23T16:09:48.653+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011403.1 already exists. Skipping.
[2026-01-23T16:09:48.669+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011501.1 already exists. Skipping.
[2026-01-23T16:09:48.674+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011502.1 already exists. Skipping.
[2026-01-23T16:09:48.680+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011503.1 already exists. Skipping.
[2026-01-23T16:09:48.700+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011601.1 already exists. Skipping.
[2026-01-23T16:09:48.705+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011602.1 already exists. Skipping.
[2026-01-23T16:09:48.714+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011603.1 already exists. Skipping.
[2026-01-23T16:09:48.722+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011701.1 already exists. Skipping.
[2026-01-23T16:09:48.728+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011702.1 already exists. Skipping.
[2026-01-23T16:09:48.735+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011703.1 already exists. Skipping.
[2026-01-23T16:09:48.745+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011801.1 already exists. Skipping.
[2026-01-23T16:09:48.753+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011802.1 already exists. Skipping.
[2026-01-23T16:09:48.767+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011803.1 already exists. Skipping.
[2026-01-23T16:09:48.778+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011901.1 already exists. Skipping.
[2026-01-23T16:09:48.790+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011902.1 already exists. Skipping.
[2026-01-23T16:09:48.811+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011903.1 already exists. Skipping.
[2026-01-23T16:09:48.840+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012001.1 already exists. Skipping.
[2026-01-23T16:09:48.852+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012002.1 already exists. Skipping.
[2026-01-23T16:09:48.864+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012003.1 already exists. Skipping.
[2026-01-23T16:09:48.873+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012101.1 already exists. Skipping.
[2026-01-23T16:09:48.878+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025012102.1 already exists. Skipping.
