[2026-01-22T19:13:11.274+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-22T19:13:11.699+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-22T19:12:31.807662+00:00 [queued]>
[2026-01-22T19:13:11.845+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-22T19:12:31.807662+00:00 [queued]>
[2026-01-22T19:13:11.859+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-22T19:13:12.098+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pibc> on 2026-01-22 19:12:31.807662+00:00
[2026-01-22T19:13:12.171+0000] {standard_task_runner.py:63} INFO - Started process 4856 to run task
[2026-01-22T19:13:12.214+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pibc', 'manual__2026-01-22T19:12:31.807662+00:00', '--job-id', '154', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmpfsq2l6cq']
[2026-01-22T19:13:12.239+0000] {standard_task_runner.py:91} INFO - Job 154: Subtask download_marginal_pibc
[2026-01-22T19:13:12.917+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-22T19:12:31.807662+00:00 [running]> on host 2aff4151de2d
[2026-01-22T19:13:14.163+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pibc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-22T19:12:31.807662+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-22T19:12:31.807662+00:00'
[2026-01-22T19:13:14.213+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-22T19:13:14.402+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpibc from 2026-01-22 19:12:31.807662 to 2026-01-22 19:12:31.807662
[2026-01-22T19:13:14.469+0000] {omie_client.py:64} INFO - Downloading marginalpibc_2025.zip from OMIE...
[2026-01-22T19:13:15.717+0000] {omie_client.py:68} INFO - File marginalpibc_2025.zip not found (404).
[2026-01-22T19:13:15.757+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010101.1 already exists. Skipping.
[2026-01-22T19:13:15.775+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010102.1 already exists. Skipping.
[2026-01-22T19:13:15.785+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010103.1 already exists. Skipping.
[2026-01-22T19:13:15.823+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010201.1 already exists. Skipping.
[2026-01-22T19:13:15.845+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010202.1 already exists. Skipping.
[2026-01-22T19:13:15.861+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010203.1 already exists. Skipping.
[2026-01-22T19:13:15.897+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010301.1 already exists. Skipping.
[2026-01-22T19:13:15.936+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010302.1 already exists. Skipping.
[2026-01-22T19:13:15.965+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010303.1 already exists. Skipping.
[2026-01-22T19:13:16.007+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010401.1 already exists. Skipping.
[2026-01-22T19:13:16.027+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010402.1 already exists. Skipping.
[2026-01-22T19:13:16.059+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010403.1 already exists. Skipping.
[2026-01-22T19:13:16.097+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010501.1 already exists. Skipping.
[2026-01-22T19:13:16.119+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010502.1 already exists. Skipping.
[2026-01-22T19:13:16.140+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010503.1 already exists. Skipping.
[2026-01-22T19:13:16.160+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010601.1 already exists. Skipping.
[2026-01-22T19:13:16.186+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010602.1 already exists. Skipping.
[2026-01-22T19:13:16.201+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010603.1 already exists. Skipping.
[2026-01-22T19:13:16.236+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010701.1 already exists. Skipping.
[2026-01-22T19:13:16.258+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010702.1 already exists. Skipping.
[2026-01-22T19:13:16.303+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010703.1 already exists. Skipping.
[2026-01-22T19:13:16.341+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010801.1 already exists. Skipping.
[2026-01-22T19:13:16.355+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010802.1 already exists. Skipping.
[2026-01-22T19:13:16.379+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010803.1 already exists. Skipping.
[2026-01-22T19:13:16.422+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010901.1 already exists. Skipping.
[2026-01-22T19:13:16.462+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010902.1 already exists. Skipping.
[2026-01-22T19:13:16.480+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010903.1 already exists. Skipping.
[2026-01-22T19:13:16.547+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011001.1 already exists. Skipping.
[2026-01-22T19:13:16.579+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011002.1 already exists. Skipping.
[2026-01-22T19:13:16.596+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011003.1 already exists. Skipping.
[2026-01-22T19:13:16.646+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011101.1 already exists. Skipping.
[2026-01-22T19:13:16.671+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011102.1 already exists. Skipping.
[2026-01-22T19:13:16.695+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011103.1 already exists. Skipping.
[2026-01-22T19:13:16.723+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011201.1 already exists. Skipping.
[2026-01-22T19:13:16.759+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011202.1 already exists. Skipping.
[2026-01-22T19:13:16.796+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011203.1 already exists. Skipping.
[2026-01-22T19:13:16.830+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011301.1 already exists. Skipping.
[2026-01-22T19:13:16.915+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011302.1 already exists. Skipping.
[2026-01-22T19:13:16.966+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011303.1 already exists. Skipping.
[2026-01-22T19:13:17.011+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011401.1 already exists. Skipping.
[2026-01-22T19:13:17.078+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011402.1 already exists. Skipping.
[2026-01-22T19:13:17.165+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011403.1 already exists. Skipping.
