[2026-01-22T18:27:37.590+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-22T18:27:37.812+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc scheduled__2026-01-21T08:30:00+00:00 [queued]>
[2026-01-22T18:27:37.859+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc scheduled__2026-01-21T08:30:00+00:00 [queued]>
[2026-01-22T18:27:37.866+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-22T18:27:37.994+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pibc> on 2026-01-21 08:30:00+00:00
[2026-01-22T18:27:38.048+0000] {standard_task_runner.py:63} INFO - Started process 199 to run task
[2026-01-22T18:27:38.090+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pibc', 'scheduled__2026-01-21T08:30:00+00:00', '--job-id', '123', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmp16z2gsz2']
[2026-01-22T18:27:38.116+0000] {standard_task_runner.py:91} INFO - Job 123: Subtask download_marginal_pibc
[2026-01-22T18:27:39.131+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pibc scheduled__2026-01-21T08:30:00+00:00 [running]> on host 2aff4151de2d
[2026-01-22T18:27:39.888+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pibc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T08:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T08:30:00+00:00'
[2026-01-22T18:27:39.894+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-22T18:27:40.007+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpibc from 2026-01-21 08:30:00 to 2026-01-21 08:30:00
[2026-01-22T18:27:40.072+0000] {omie_client.py:64} INFO - Downloading marginalpibc_2025.zip from OMIE...
[2026-01-22T18:27:41.166+0000] {omie_client.py:68} INFO - File marginalpibc_2025.zip not found (404).
[2026-01-22T18:27:41.195+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010101.1 already exists. Skipping.
[2026-01-22T18:27:41.226+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010102.1 already exists. Skipping.
[2026-01-22T18:27:41.241+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010103.1 already exists. Skipping.
[2026-01-22T18:27:41.302+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010201.1 already exists. Skipping.
[2026-01-22T18:27:41.318+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010202.1 already exists. Skipping.
[2026-01-22T18:27:41.335+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010203.1 already exists. Skipping.
[2026-01-22T18:27:41.365+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010301.1 already exists. Skipping.
[2026-01-22T18:27:41.374+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010302.1 already exists. Skipping.
[2026-01-22T18:27:41.386+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010303.1 already exists. Skipping.
[2026-01-22T18:27:41.400+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010401.1 already exists. Skipping.
[2026-01-22T18:27:41.408+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010402.1 already exists. Skipping.
[2026-01-22T18:27:41.426+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010403.1 already exists. Skipping.
[2026-01-22T18:27:41.449+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010501.1 already exists. Skipping.
[2026-01-22T18:27:41.474+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010502.1 already exists. Skipping.
[2026-01-22T18:27:41.483+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010503.1 already exists. Skipping.
[2026-01-22T18:27:41.520+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010601.1 already exists. Skipping.
[2026-01-22T18:27:41.541+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010602.1 already exists. Skipping.
[2026-01-22T18:27:41.549+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010603.1 already exists. Skipping.
[2026-01-22T18:27:41.564+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010701.1 already exists. Skipping.
[2026-01-22T18:27:41.576+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010702.1 already exists. Skipping.
[2026-01-22T18:27:41.588+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010703.1 already exists. Skipping.
[2026-01-22T18:27:41.606+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010801.1 already exists. Skipping.
[2026-01-22T18:27:41.617+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010802.1 already exists. Skipping.
[2026-01-22T18:27:41.635+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010803.1 already exists. Skipping.
[2026-01-22T18:27:41.658+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010901.1 already exists. Skipping.
[2026-01-22T18:27:41.668+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010902.1 already exists. Skipping.
[2026-01-22T18:27:41.676+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010903.1 already exists. Skipping.
[2026-01-22T18:27:41.691+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011001.1 already exists. Skipping.
[2026-01-22T18:27:41.700+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011002.1 already exists. Skipping.
[2026-01-22T18:27:41.710+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011003.1 already exists. Skipping.
[2026-01-22T18:27:41.727+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011101.1 already exists. Skipping.
[2026-01-22T18:27:41.739+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011102.1 already exists. Skipping.
[2026-01-22T18:27:41.753+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011103.1 already exists. Skipping.
[2026-01-22T18:27:41.768+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011201.1 already exists. Skipping.
[2026-01-22T18:27:41.778+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011202.1 already exists. Skipping.
[2026-01-22T18:27:41.792+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011203.1 already exists. Skipping.
[2026-01-22T18:27:41.807+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011301.1 already exists. Skipping.
[2026-01-22T18:27:41.817+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011302.1 already exists. Skipping.
[2026-01-22T18:27:41.846+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011303.1 already exists. Skipping.
[2026-01-22T18:27:41.973+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011401.1 already exists. Skipping.
[2026-01-22T18:27:42.000+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011402.1 already exists. Skipping.
[2026-01-22T18:27:42.063+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011403.1 already exists. Skipping.
[2026-01-22T18:27:42.128+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011501.1 already exists. Skipping.
[2026-01-22T18:27:42.188+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011502.1 already exists. Skipping.
[2026-01-22T18:27:42.225+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011503.1 already exists. Skipping.
[2026-01-22T18:27:42.278+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011601.1 already exists. Skipping.
[2026-01-22T18:27:42.292+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011602.1 already exists. Skipping.
[2026-01-22T18:27:42.308+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011603.1 already exists. Skipping.
[2026-01-22T18:27:42.325+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011701.1 already exists. Skipping.
