[2026-01-22T18:29:36.586+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-22T18:29:37.052+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-22T18:29:12.380731+00:00 [queued]>
[2026-01-22T18:29:37.158+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-22T18:29:12.380731+00:00 [queued]>
[2026-01-22T18:29:37.169+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-22T18:29:37.348+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pdbc> on 2026-01-22 18:29:12.380731+00:00
[2026-01-22T18:29:37.435+0000] {standard_task_runner.py:63} INFO - Started process 380 to run task
[2026-01-22T18:29:37.482+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pdbc', 'manual__2026-01-22T18:29:12.380731+00:00', '--job-id', '138', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmpb36cgb4z']
[2026-01-22T18:29:37.507+0000] {standard_task_runner.py:91} INFO - Job 138: Subtask download_marginal_pdbc
[2026-01-22T18:29:38.465+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-22T18:29:12.380731+00:00 [running]> on host 2aff4151de2d
[2026-01-22T18:29:40.617+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pdbc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-22T18:29:12.380731+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-22T18:29:12.380731+00:00'
[2026-01-22T18:29:40.634+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-22T18:29:40.825+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpdbc from 2026-01-22 18:29:12.380731 to 2026-01-22 18:29:12.380731
[2026-01-22T18:29:40.904+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250101.1 already exists. Skipping download.
[2026-01-22T18:29:40.982+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250102.1 already exists. Skipping download.
[2026-01-22T18:29:41.021+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250103.1 already exists. Skipping download.
[2026-01-22T18:29:41.112+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250104.1 already exists. Skipping download.
[2026-01-22T18:29:41.174+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250105.1 already exists. Skipping download.
[2026-01-22T18:29:41.262+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250106.1 already exists. Skipping download.
