[2026-01-22T18:27:37.065+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-22T18:27:37.296+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc scheduled__2026-01-21T08:30:00+00:00 [queued]>
[2026-01-22T18:27:37.339+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc scheduled__2026-01-21T08:30:00+00:00 [queued]>
[2026-01-22T18:27:37.341+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-22T18:27:37.415+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pdbc> on 2026-01-21 08:30:00+00:00
[2026-01-22T18:27:37.451+0000] {standard_task_runner.py:63} INFO - Started process 196 to run task
[2026-01-22T18:27:37.496+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pdbc', 'scheduled__2026-01-21T08:30:00+00:00', '--job-id', '121', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmp9m0ifg0d']
[2026-01-22T18:27:37.521+0000] {standard_task_runner.py:91} INFO - Job 121: Subtask download_marginal_pdbc
[2026-01-22T18:27:38.091+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pdbc scheduled__2026-01-21T08:30:00+00:00 [running]> on host 2aff4151de2d
[2026-01-22T18:27:39.185+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pdbc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-21T08:30:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-21T08:30:00+00:00'
[2026-01-22T18:27:39.198+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-22T18:27:39.356+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpdbc from 2026-01-21 08:30:00 to 2026-01-21 08:30:00
[2026-01-22T18:27:39.446+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250101.1 already exists. Skipping download.
[2026-01-22T18:27:39.522+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250102.1 already exists. Skipping download.
[2026-01-22T18:27:39.560+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250103.1 already exists. Skipping download.
[2026-01-22T18:27:39.659+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250104.1 already exists. Skipping download.
[2026-01-22T18:27:39.737+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250105.1 already exists. Skipping download.
[2026-01-22T18:27:39.806+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250106.1 already exists. Skipping download.
[2026-01-22T18:27:39.879+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250107.1 already exists. Skipping download.
[2026-01-22T18:27:39.938+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250108.1 already exists. Skipping download.
[2026-01-22T18:27:40.067+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250109.1 already exists. Skipping download.
[2026-01-22T18:27:40.171+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250110.1 already exists. Skipping download.
[2026-01-22T18:27:40.277+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250111.1 already exists. Skipping download.
[2026-01-22T18:27:40.463+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250112.1 already exists. Skipping download.
[2026-01-22T18:27:40.600+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250113.1 already exists. Skipping download.
[2026-01-22T18:27:40.711+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250114.1 already exists. Skipping download.
