[2026-01-22T18:29:40.803+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010901.1 already exists. Skipping.
[2026-01-22T18:29:40.856+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010902.1 already exists. Skipping.
[2026-01-22T18:29:40.894+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025010903.1 already exists. Skipping.
[2026-01-22T18:29:41.000+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011001.1 already exists. Skipping.
[2026-01-22T18:29:41.172+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011002.1 already exists. Skipping.
[2026-01-22T18:29:41.242+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011003.1 already exists. Skipping.
[2026-01-22T18:29:41.351+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011101.1 already exists. Skipping.
[2026-01-22T18:29:41.415+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011102.1 already exists. Skipping.
[2026-01-22T18:29:41.605+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011103.1 already exists. Skipping.
[2026-01-22T18:29:41.723+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011201.1 already exists. Skipping.
[2026-01-22T18:29:41.743+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011202.1 already exists. Skipping.
[2026-01-22T18:29:41.822+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011203.1 already exists. Skipping.
[2026-01-22T18:29:41.899+0000] {marginalpibc.py:63} INFO - File bronze/omie/marginalpibc/2025/01/marginalpibc_2025011301.1 already exists. Skipping.
