[2026-01-22T19:13:11.186+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-22T19:13:11.699+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-22T19:12:31.807662+00:00 [queued]>
[2026-01-22T19:13:11.738+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-22T19:12:31.807662+00:00 [queued]>
[2026-01-22T19:13:11.741+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-22T19:13:11.856+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pdbc> on 2026-01-22 19:12:31.807662+00:00
[2026-01-22T19:13:11.898+0000] {standard_task_runner.py:63} INFO - Started process 4848 to run task
[2026-01-22T19:13:11.950+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pdbc', 'manual__2026-01-22T19:12:31.807662+00:00', '--job-id', '149', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmphmd1fnlb']
[2026-01-22T19:13:11.980+0000] {standard_task_runner.py:91} INFO - Job 149: Subtask download_marginal_pdbc
[2026-01-22T19:13:12.598+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pdbc manual__2026-01-22T19:12:31.807662+00:00 [running]> on host 2aff4151de2d
[2026-01-22T19:13:13.486+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pdbc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-22T19:12:31.807662+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-22T19:12:31.807662+00:00'
[2026-01-22T19:13:13.514+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-22T19:13:13.764+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpdbc from 2026-01-22 19:12:31.807662 to 2026-01-22 19:12:31.807662
[2026-01-22T19:13:13.844+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250101.1 already exists. Skipping download.
[2026-01-22T19:13:13.873+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250102.1 already exists. Skipping download.
[2026-01-22T19:13:13.917+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250103.1 already exists. Skipping download.
[2026-01-22T19:13:13.943+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250104.1 already exists. Skipping download.
