[2026-01-23T16:09:47.744+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250126.1 already exists. Skipping download.
[2026-01-23T16:09:47.759+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250127.1 already exists. Skipping download.
[2026-01-23T16:09:47.765+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250128.1 already exists. Skipping download.
[2026-01-23T16:09:47.772+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250129.1 already exists. Skipping download.
[2026-01-23T16:09:47.777+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250130.1 already exists. Skipping download.
[2026-01-23T16:09:47.786+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250131.1 already exists. Skipping download.
[2026-01-23T16:09:47.792+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250201.1 already exists. Skipping download.
[2026-01-23T16:09:47.797+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250202.1 already exists. Skipping download.
[2026-01-23T16:09:47.803+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250203.1 already exists. Skipping download.
[2026-01-23T16:09:47.808+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250204.1 already exists. Skipping download.
[2026-01-23T16:09:47.820+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250205.1 already exists. Skipping download.
[2026-01-23T16:09:47.828+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250206.1 already exists. Skipping download.
[2026-01-23T16:09:47.841+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250207.1 already exists. Skipping download.
[2026-01-23T16:09:47.852+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250208.1 already exists. Skipping download.
[2026-01-23T16:09:47.896+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250209.1 already exists. Skipping download.
[2026-01-23T16:09:47.938+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250210.1 already exists. Skipping download.
[2026-01-23T16:09:47.969+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250211.1 already exists. Skipping download.
[2026-01-23T16:09:48.000+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250212.1 already exists. Skipping download.
[2026-01-23T16:09:48.082+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250213.1 already exists. Skipping download.
[2026-01-23T16:09:48.122+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250214.1 already exists. Skipping download.
[2026-01-23T16:09:48.135+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250215.1 already exists. Skipping download.
[2026-01-23T16:09:48.143+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250216.1 already exists. Skipping download.
[2026-01-23T16:09:48.152+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250217.1 already exists. Skipping download.
[2026-01-23T16:09:48.183+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250218.1 already exists. Skipping download.
[2026-01-23T16:09:48.231+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250219.1 already exists. Skipping download.
[2026-01-23T16:09:48.268+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250220.1 already exists. Skipping download.
[2026-01-23T16:09:48.309+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250221.1 already exists. Skipping download.
[2026-01-23T16:09:48.340+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250222.1 already exists. Skipping download.
[2026-01-23T16:09:48.352+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250223.1 already exists. Skipping download.
[2026-01-23T16:09:48.374+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250224.1 already exists. Skipping download.
[2026-01-23T16:09:48.405+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250225.1 already exists. Skipping download.
[2026-01-23T16:09:48.426+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250226.1 already exists. Skipping download.
[2026-01-23T16:09:48.437+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250227.1 already exists. Skipping download.
[2026-01-23T16:09:48.444+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250228.1 already exists. Skipping download.
[2026-01-23T16:09:48.449+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250301.1 already exists. Skipping download.
[2026-01-23T16:09:48.455+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250302.1 already exists. Skipping download.
[2026-01-23T16:09:48.461+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250303.1 already exists. Skipping download.
[2026-01-23T16:09:48.466+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250304.1 already exists. Skipping download.
[2026-01-23T16:09:48.471+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250305.1 already exists. Skipping download.
[2026-01-23T16:09:48.477+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250306.1 already exists. Skipping download.
[2026-01-23T16:09:48.482+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250307.1 already exists. Skipping download.
[2026-01-23T16:09:48.488+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250308.1 already exists. Skipping download.
[2026-01-23T16:09:48.497+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250309.1 already exists. Skipping download.
[2026-01-23T16:09:48.503+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250310.1 already exists. Skipping download.
