[2026-01-20T21:00:09.836+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250126.1 already exists. Skipping download.
[2026-01-20T21:00:09.841+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250127.1 already exists. Skipping download.
[2026-01-20T21:00:09.844+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250128.1 already exists. Skipping download.
[2026-01-20T21:00:09.849+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250129.1 already exists. Skipping download.
[2026-01-20T21:00:09.853+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250130.1 already exists. Skipping download.
[2026-01-20T21:00:09.856+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/01/marginalpdbc_20250131.1 already exists. Skipping download.
[2026-01-20T21:00:09.860+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250201.1 already exists. Skipping download.
[2026-01-20T21:00:09.864+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250202.1 already exists. Skipping download.
[2026-01-20T21:00:09.867+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250203.1 already exists. Skipping download.
[2026-01-20T21:00:09.870+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250204.1 already exists. Skipping download.
[2026-01-20T21:00:09.873+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250205.1 already exists. Skipping download.
[2026-01-20T21:00:09.876+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250206.1 already exists. Skipping download.
[2026-01-20T21:00:09.879+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250207.1 already exists. Skipping download.
[2026-01-20T21:00:09.883+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250208.1 already exists. Skipping download.
[2026-01-20T21:00:09.887+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250209.1 already exists. Skipping download.
[2026-01-20T21:00:09.890+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250210.1 already exists. Skipping download.
[2026-01-20T21:00:09.893+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250211.1 already exists. Skipping download.
[2026-01-20T21:00:09.898+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250212.1 already exists. Skipping download.
[2026-01-20T21:00:09.901+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250213.1 already exists. Skipping download.
[2026-01-20T21:00:09.904+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250214.1 already exists. Skipping download.
[2026-01-20T21:00:09.908+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250215.1 already exists. Skipping download.
[2026-01-20T21:00:09.910+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250216.1 already exists. Skipping download.
[2026-01-20T21:00:09.914+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250217.1 already exists. Skipping download.
[2026-01-20T21:00:09.917+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250218.1 already exists. Skipping download.
[2026-01-20T21:00:09.920+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250219.1 already exists. Skipping download.
[2026-01-20T21:00:09.923+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250220.1 already exists. Skipping download.
[2026-01-20T21:00:09.927+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250221.1 already exists. Skipping download.
[2026-01-20T21:00:09.932+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250222.1 already exists. Skipping download.
[2026-01-20T21:00:09.935+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250223.1 already exists. Skipping download.
[2026-01-20T21:00:09.938+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250224.1 already exists. Skipping download.
[2026-01-20T21:00:09.942+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250225.1 already exists. Skipping download.
[2026-01-20T21:00:09.946+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250226.1 already exists. Skipping download.
[2026-01-20T21:00:09.951+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250227.1 already exists. Skipping download.
[2026-01-20T21:00:09.955+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/02/marginalpdbc_20250228.1 already exists. Skipping download.
[2026-01-20T21:00:09.961+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250301.1 already exists. Skipping download.
[2026-01-20T21:00:09.966+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250302.1 already exists. Skipping download.
[2026-01-20T21:00:09.971+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250303.1 already exists. Skipping download.
[2026-01-20T21:00:09.975+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250304.1 already exists. Skipping download.
[2026-01-20T21:00:09.981+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250305.1 already exists. Skipping download.
[2026-01-20T21:00:09.985+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250306.1 already exists. Skipping download.
[2026-01-20T21:00:09.989+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250307.1 already exists. Skipping download.
[2026-01-20T21:00:09.993+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250308.1 already exists. Skipping download.
[2026-01-20T21:00:09.997+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250309.1 already exists. Skipping download.
[2026-01-20T21:00:10.003+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250310.1 already exists. Skipping download.
[2026-01-20T21:00:10.007+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250311.1 already exists. Skipping download.
[2026-01-20T21:00:10.012+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250312.1 already exists. Skipping download.
[2026-01-20T21:00:10.017+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250313.1 already exists. Skipping download.
[2026-01-20T21:00:10.023+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250314.1 already exists. Skipping download.
[2026-01-20T21:00:10.027+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250315.1 already exists. Skipping download.
[2026-01-20T21:00:10.031+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250316.1 already exists. Skipping download.
[2026-01-20T21:00:10.035+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250317.1 already exists. Skipping download.
[2026-01-20T21:00:10.039+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250318.1 already exists. Skipping download.
[2026-01-20T21:00:10.043+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250319.1 already exists. Skipping download.
[2026-01-20T21:00:10.048+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250320.1 already exists. Skipping download.
[2026-01-20T21:00:10.053+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250321.1 already exists. Skipping download.
[2026-01-20T21:00:10.056+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250322.1 already exists. Skipping download.
[2026-01-20T21:00:10.060+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250323.1 already exists. Skipping download.
[2026-01-20T21:00:10.065+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250324.1 already exists. Skipping download.
[2026-01-20T21:00:10.070+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250325.1 already exists. Skipping download.
[2026-01-20T21:00:10.074+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250326.1 already exists. Skipping download.
[2026-01-20T21:00:10.079+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250327.1 already exists. Skipping download.
[2026-01-20T21:00:10.083+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250328.1 already exists. Skipping download.
[2026-01-20T21:00:10.088+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250329.1 already exists. Skipping download.
[2026-01-20T21:00:10.092+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250330.1 already exists. Skipping download.
[2026-01-20T21:00:10.095+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/03/marginalpdbc_20250331.1 already exists. Skipping download.
[2026-01-20T21:00:10.100+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250401.1 already exists. Skipping download.
[2026-01-20T21:00:10.103+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250402.1 already exists. Skipping download.
[2026-01-20T21:00:10.107+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250403.1 already exists. Skipping download.
[2026-01-20T21:00:10.111+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250404.1 already exists. Skipping download.
[2026-01-20T21:00:10.115+0000] {marginalpdbc.py:65} INFO - File bronze/omie/marginalpdbc/2025/04/marginalpdbc_20250405.1 already exists. Skipping download.
