[2026-01-20T21:00:09.301+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-20T21:00:09.338+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-20T21:00:07.280516+00:00 [queued]>
[2026-01-20T21:00:09.351+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-20T21:00:07.280516+00:00 [queued]>
[2026-01-20T21:00:09.352+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-20T21:00:09.369+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_marginal_pibc> on 2026-01-20 21:00:07.280516+00:00
[2026-01-20T21:00:09.378+0000] {standard_task_runner.py:63} INFO - Started process 3143 to run task
[2026-01-20T21:00:09.386+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'omie_pipeline', 'download_marginal_pibc', 'manual__2026-01-20T21:00:07.280516+00:00', '--job-id', '104', '--raw', '--subdir', 'DAGS_FOLDER/omie_dag.py', '--cfg-path', '/tmp/tmpvtr2te7a']
[2026-01-20T21:00:09.390+0000] {standard_task_runner.py:91} INFO - Job 104: Subtask download_marginal_pibc
[2026-01-20T21:00:09.486+0000] {task_command.py:426} INFO - Running <TaskInstance: omie_pipeline.download_marginal_pibc manual__2026-01-20T21:00:07.280516+00:00 [running]> on host 2aff4151de2d
[2026-01-20T21:00:09.621+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='omie_pipeline' AIRFLOW_CTX_TASK_ID='download_marginal_pibc' AIRFLOW_CTX_EXECUTION_DATE='2026-01-20T21:00:07.280516+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-20T21:00:07.280516+00:00'
[2026-01-20T21:00:09.623+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-20T21:00:09.641+0000] {logging_mixin.py:188} INFO - Downloading download_marginalpibc from 2026-01-20 21:00:07.280516 to 2026-01-20 21:00:07.280516
[2026-01-20T21:00:09.646+0000] {omie_client.py:64} INFO - Downloading marginalpibc_2025.zip from OMIE...
[2026-01-20T21:00:10.111+0000] {omie_client.py:68} INFO - File marginalpibc_2025.zip not found (404).
